2014/06/16 23:48:26 [T] [JX79288316] STATE:OK
2014/06/16 23:48:26 [T] [PO62940613] STATE:OK
2014/06/16 23:48:26 [T] [PO62940669] STATE:OK
2014/06/16 23:48:26 [T] [PO62940687] STATE:OK
2014/06/16 23:48:26 [T] [J?79288331] STATE:OK
2014/06/16 23:48:26 [T] [JX79288316] STATE:OK
2014/06/16 23:48:26 [T] [PO62940613] STATE:OK
2014/06/16 23:48:26 [T] [PO62940669] STATE:OK
2014/06/16 23:48:26 [T] [PO62940687] STATE:OK
2014/06/16 23:48:26 [T] [J?79288331] STATE:OK
2014/06/16 23:48:26 [T] [JX79288316] STATE:OK
2014/06/16 23:48:26 [T] [PO62940613] STATE:OK
2014/06/16 23:48:26 [T] [PO62940669] STATE:OK
2014/06/16 23:48:26 [T] [PO62940687] STATE:OK
2014/06/16 23:48:27 [T] [J?79288331] STATE:OK
2014/06/16 23:48:27 [T] [JX79288316] STATE:OK
2014/06/16 23:48:27 [T] [PO62940613] STATE:OK
2014/06/16 23:48:27 [T] [PO62940669] STATE:OK
2014/06/16 23:48:27 [T] [PO62940687] STATE:OK
2014/06/16 23:48:27 [T] [J?79288331] STATE:OK
2014/06/16 23:48:27 [T] [JX79288316] STATE:OK
2014/06/16 23:48:27 [T] [PO62940613] STATE:OK
2014/06/16 23:48:27 [T] [PO62940669] STATE:OK
2014/06/16 23:48:27 [T] [PO62940687] STATE:OK
2014/06/16 23:48:27 [T] [J?79288331] STATE:OK
2014/06/16 23:48:27 [T] [JX79288316] STATE:OK
2014/06/16 23:48:27 [T] [PO62940613] STATE:OK
2014/06/16 23:48:27 [T] [PO62940669] STATE:OK
2014/06/16 23:48:27 [T] [PO62940687] STATE:OK
2014/06/16 23:48:27 [T] [J?79288331] STATE:OK
2014/06/16 23:48:27 [T] [JX79288316] STATE:OK
2014/06/16 23:48:27 [T] [PO62940613] STATE:OK
2014/06/16 23:48:27 [T] [PO62940669] STATE:OK
